"","X","Ess","Length","PSum","fEss"
"53",53,0.25,10,0.281289170499374,0.314494766967592
"54",54,0.25,5,0.268021548771387,0.312712405215673
"55",55,0.3,45,0.326880526668143,0.358590284622205
"56",56,0.3,40,0.326880525977726,0.358534296378035
"57",57,0.3,35,0.326880518320888,0.358462311492673
"58",58,0.3,30,0.326880433405235,0.358366331645525
"59",59,0.3,25,0.326879491673862,0.358231959859516
"60",60,0.3,20,0.326869047424852,0.358030402180504
"61",61,0.3,15,0.326753183495207,0.357694472715484
"62",62,0.3,10,0.325463854661398,0.357022613785443
"63",63,0.3,5,0.310614712564957,0.355007036995322
"64",64,0.35,45,0.367868188854882,0.396929002478575
"65",65,0.35,40,0.367868188104775,0.396867271057807
"66",66,0.35,35,0.367868179785958,0.396787902088249
"67",67,0.35,30,0.367868087528844,0.396682076795505
"68",68,0.35,25,0.367867064379129,0.396533921385663
"69",69,0.35,20,0.367855717150278,0.3963116882709
"70",70,0.35,15,0.367729834519157,0.395941299746295
"71",71,0.35,10,0.366328839385132,0.395200522697085
"72",72,0.35,5,0.350171292535421,0.392978191549455
"73",73,0.4,45,0.40578337276784,0.431537399019702
"74",74,0.4,40,0.405783371969514,0.431470553407276
"75",75,0.4,35,0.405783363115936,0.431384609048442
"76",76,0.4,30,0.405783264928226,0.431270016569996
"77",77,0.4,25,0.405782176006924,0.431109587100172
"78",78,0.4,20,0.405770099326686,0.430868942895436
"79",79,0.4,15,0.405636122857941,0.430467869220877
"80",80,0.4,10,0.404144858224881,0.429665721871757
"81",81,0.4,5,0.386922410440785,0.427259279824399
"82",82,0.45,45,0.44086913897084,0.46293641416238
"83",83,0.45,40,0.440869138134469,0.462864997081131
"84",84,0.45,35,0.440869128858984,0.462773175119525
"85",85,0.45,30,0.440869025992244,0.462650745837384
"86",86,0.45,25,0.440867885179471,0.462479344842386
"87",87,0.45,20,0.440855232983901,0.462222243349889
"88",88,0.45,15,0.440714870250383,0.461793740862395
"89",89,0.45,10,0.439152322178858,0.460936735887406
"90",90,0.45,5,0.42108161536173,0.458365720962441
"91",91,0.5,45,0.473349518414917,0.49155426044851
"92",92,0.5,40,0.473349517549508,0.491478743731902
"93",93,0.5,35,0.473349507951978,0.491381650810549
"94",94,0.5,30,0.473349401513714,0.491252193582078
"95",95,0.5,25,0.473348221091905,0.491070953462219
"96",96,0.5,20,0.473335129598433,0.49079909328243
"97",97,0.5,15,0.473189891659883,0.490345992982781
"98",98,0.5,10,0.471572865572104,0.489439792383485
"99",99,0.5,5,0.452846193477954,0.486721190585596
"100",100,0.55,45,0.503430965671812,0.517746172272597
"101",101,0.55,40,0.503430964785311,0.517666968962598
"102",102,0.55,35,0.503430954953863,0.517565136135455
"103",103,0.55,30,0.503430845921409,0.517429359032599
"104",104,0.55,25,0.503429636729398,0.5172392710886
"105",105,0.55,20,0.503416226145571,0.516954139172602
"106",106,0.55,15,0.503267446496701,0.516478919312605
"107",107,0.55,10,0.501610777050751,0.515528479592611
"108",108,0.55,5,0.482398382288134,0.512677160432629
"109",109,0.6,45,0.531303703796113,0.541809313751654
"110",110,0.6,40,0.53130370289551,0.541726787724503
"111",111,0.6,35,0.531303692907675,0.541620682832451
"112",112,0.6,30,0.531303582140861,0.541479209643049
"113",113,0.6,25,0.531302353714325,0.541281147177885
"114",114,0.6,20,0.531288729795333,0.54098405348014
"115",115,0.6,15,0.531137581637485,0.540488897317232
"116",116,0.6,10,0.52945432406617,0.539498584991415
"117",117,0.6,5,0.509906496118792,0.536527648013965
"118",118,0.65,45,0.557142968743169,0.563994175509372
"119",119,0.65,40,0.557142967834594,0.563908649211407
"120",120,0.65,35,0.557142957758348,0.563798686828311
"121",121,0.65,30,0.557142846011035,0.563652070317515
"122",122,0.65,25,0.55714160671045,0.563446807202401
"123",123,0.65,20,0.557127862178174,0.56313891252973
"124",124,0.65,15,0.556975374155491,0.562625754741945
"125",125,0.65,10,0.555276978625372,0.561599439166374
"126",126,0.65,5,0.535525969283964,0.558520492439663
"127",127,0.7,45,0.581110160698608,0.5845133886855
"128",128,0.7,40,0.581110159787415,0.584425149407293
"129",129,0.7,35,0.581110149682125,0.584311698906742
"130",130,0.7,30,0.581110037612713,0.584160431572674
"131",131,0.7,25,0.581108794739875,0.583948657304978
"132",132,0.7,20,0.581095010575118,0.583630995903435
"133",133,0.7,15,0.580942081104723,0.583101560234196
"134",134,0.7,10,0.579238551524712,0.582042688895718
"135",135,0.7,5,0.559400322808106,0.578866074880284
"136",136,0.75,45,0.603353909144685,0.603548614187933
"137",137,0.75,40,0.603353908235527,0.603457919195862
"138",138,0.75,35,0.603353898152817,0.603341311348913
"139",139,0.75,30,0.603353786333809,0.603185834219648
"140",140,0.75,25,0.603352546237887,0.602968166238676
"141",141,0.75,20,0.60333879285653,0.60264166426722
"142",142,0.75,15,0.603186203171645,0.602097494314792
"143",143,0.75,10,0.601486241764306,0.601009154409936
"144",144,0.75,5,0.581662060206459,0.597744134695369
