"","X","Ess","Length","PSum","fEss"
"522",522,4.5,5,0.966818526410874,0.964854327263071
"523",523,6,45,0.986927681987686,0.990274136148025
"524",524,6,40,0.986927681983578,0.99023334102142
"525",525,6,35,0.986927681938025,0.990180890144357
"526",526,6,30,0.986927681432824,0.990110955641606
"527",527,6,25,0.986927675829987,0.990013047337755
"528",528,6,20,0.986927613684562,0.989866184881978
"529",529,6,15,0.986926923371764,0.98962141412235
"530",530,6,10,0.986919128876344,0.989131872603093
"531",531,6,5,0.98681365225975,0.987663248045324
"532",532,7,45,0.99308784954315,0.996010574814139
"533",533,7,40,0.993087849541997,0.995984680144108
"534",534,7,35,0.993087849529209,0.995951386996926
"535",535,7,30,0.993087849387396,0.995906996134017
"536",536,7,25,0.993087847814638,0.995844848925944
"537",537,7,20,0.993087830369593,0.995751628113835
"538",538,7,15,0.99308763654534,0.995596260093653
"539",539,7,10,0.993085442411826,0.995285524053289
"540",540,7,5,0.993054876994204,0.994353315932197
"541",541,8,45,0.996407349555978,0.998585271721258
"542",542,8,40,0.996407349555661,0.998569691977569
"543",543,8,35,0.996407349552144,0.998549660878541
"544",544,8,30,0.996407349513149,0.998522952746504
"545",545,8,25,0.996407349080674,0.998485561361652
"546",546,8,20,0.996407344283558,0.998429474284374
"547",547,8,15,0.996407290972724,0.998335995822244
"548",548,8,10,0.996406685932664,0.998149038897983
"549",549,8,5,0.996398007444643,0.997588168125202
"550",550,9,45,0.998155208958081,0.999624739061199
"551",551,9,40,0.998155208957995,0.999615719448601
"552",552,9,35,0.998155208957044,0.999604122803832
"553",553,9,30,0.998155208946488,0.999588660610807
"554",554,9,25,0.998155208829425,0.999567013540572
"555",555,9,20,0.998155207530905,0.999534542935219
"556",556,9,15,0.998155193097014,0.999480425259631
"557",557,9,10,0.998155028861655,0.999372189908454
"558",558,9,5,0.998152602738676,0.999047483854925
"559",559,10,45,0.999060657499213,0.999988590632855
"560",560,10,40,0.99906065749919,0.999983507367483
"561",561,10,35,0.999060657498936,0.999976971740576
"562",562,10,30,0.999060657496114,0.999968257571366
"563",563,10,25,0.999060657464818,0.999956057734473
"564",564,10,20,0.999060657117664,0.999937757979133
"565",565,10,15,0.999060653257939,0.999907258386899
"566",566,10,10,0.999060609227295,0.999846259202433
"567",567,10,5,0.999059939217833,0.999663261649032
