"","Ess","Sum05","Sum10","Sum25","Sum50","Sum75","Sum100","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum750","Sum1000","fEss"
"14",0.65,0.982662744170814,1.18235719931429,1.35871998008886,1.4420549795632,1.47668139242075,1.49642213485787,1.51878599988282,1.53148581776659,1.53984294823473,1.54583458109851,1.55396655664958,1.55931204710949,1.56725398812736,1.57174952207628,1.56518176560823
"15",0.7,1.02605097673517,1.22392915910004,1.39255318884707,1.46916809277426,1.50013398987479,1.51748497965862,1.53681140714831,1.54759671593092,1.55460376437726,1.5595767688729,1.56624856948418,1.57057831951258,1.57691306090097,1.58043652200527,1.57776466743095
"16",0.75,1.06623104444893,1.26132484918332,1.42175169264576,1.49183561244237,1.5193875881896,1.5345605681967,1.55117744597574,1.56029028303727,1.56613543841533,1.57024195928579,1.5756879390625,1.57917710086096,1.58420428078703,1.58695181859576,1.58770423680208
"17",0.8,1.10341211660487,1.29492131350109,1.44689431979495,1.510725033397,1.53513131953092,1.54834093984379,1.56256512332801,1.57023074738137,1.57508505128422,1.57846101446666,1.58288671392799,1.58568601347389,1.58965793104494,1.59179093090529,1.59545287738446
"18",0.85,1.1377898049841,1.32506103577166,1.46848517380745,1.5263989460278,1.54793495510841,1.55939054122163,1.57151940304225,1.57794256731755,1.58195827913722,1.58472282989569,1.58830540624524,1.59054249045383,1.59366850495901,1.59531797959926,1.60137169317531
"19",0.9,1.16954705219817,1.3520551598904,1.48696345684539,1.53933184435475,1.55827000296333,1.56817025501993,1.57847701003584,1.58384056298125,1.58715109063912,1.58940714242075,1.59229723037108,1.59407884763874,1.59653068204238,1.59780184887423,1.60575200633995
"20",0.95,1.19885496121196,1.37618640750812,1.50271199283384,1.54992422478999,1.56652705502746,1.57505687787358,1.58378851980192,1.58825351512778,1.59097429792445,1.59280971198433,1.59513400885389,1.59654852686982,1.59846570965646,1.59944232697192,1.60883110549967
"21",1,1.2258735699718,1.39771172139445,1.5160646227951,1.55851441310827,1.57303005132654,1.5803589105184,1.58773590939385,1.59144264938037,1.59367257450991,1.59516165209628,1.59702577633072,1.59814573585553,1.59964075214118,1.6003890061111,1.61080394661775
"22",1.05,1.2507525748005,1.41686466048051,1.52731262203793,1.56538848644775,1.57804801021932,1.58432935963954,1.59054650392292,1.59361611616276,1.59543918913013,1.59664427081463,1.59813561686188,1.59902014886557,1.60018308519039,1.60075495080493,1.6118319660064
"23",1.1,1.27363200597483,1.43385757002439,1.53671026896244,1.57078859789347,1.58180467578071,1.58717611810961,1.59240406028692,1.59494033547352,1.59642742242678,1.59740046695307,1.59859089596283,1.59928791290542,1.60019051165804,1.60062658592758,1.61204980088376
"24",1.15,1.2946428586725,1.44888354812431,1.54447967800797,1.57491996150491,1.58448645307827,1.58907038278396,1.5934575771402,1.59554888691179,1.5967594150776,1.59754348301084,1.59849176555038,1.59903989023383,1.59973900740886,1.60007085306948,1.61157047247189
"25",1.2,1.3139076822618,1.46211822779576,1.55081499432779,1.57795671398895,1.5862489360498,1.59015348189876,1.5938282988532,1.59554947761074,1.59653302691977,1.59716362973073,1.5979176059748,1.59834783341501,1.59888833644323,1.59914039271297,1.61048942489694
"26",1.25,1.33154113070778,1.47372139201089,1.55588603481694,1.58004683429224,1.58722227841503,1.5905424135292,1.59361528491649,1.59502940507228,1.59582715576396,1.59633345404587,1.5969319074398,1.5972690135964,1.59768617709952,1.5978772995277,1.60888770252242
"27",1.3,1.34765047668323,1.48383843745242,1.55984144888236,1.58131627310355,1.58751561345002,1.59033433937273,1.5928998397792,1.59405984135437,1.59470586328882,1.59511171236051,1.59558597070032,1.59584969145049,1.59617115644714,1.59631584620818,1.60683447149515
"28",1.35,1.36233609179917,1.49260170124466,1.56281146260159,1.58187241970628,1.5872206917951,1.58961023178385,1.59174903739057,1.59269919418401,1.59322157697836,1.59354642686243,1.59392171435477,1.59412772206007,1.59437508394183,1.59448446155457,1.6043890371353
"29",1.4,1.37569189520816,1.50013166357504,1.56491026146671,1.58180701303715,1.58641487634052,1.58843783444162,1.59021852649532,1.5909957450842,1.59141757634696,1.59167723793249,1.59197380603982,1.59213451161488,1.59232459769713,1.59240716923005,1.60160247014698
"30",1.45,1.38780577268262,1.50653803789895,1.56623805958342,1.58119858655019,1.5851636084745,1.58687406661064,1.58835476444311,1.58898972116804,1.58932992469148,1.58953721613231,1.58977128189136,1.58989648888423,1.59004237976768,1.59010463636271,1.59851892669522
"31",1.5,1.39875996812994,1.51192075931484,1.56688289684194,1.5801145220158,1.58352243963006,1.58496697630823,1.5861967968655,1.58671492325037,1.58698897121832,1.58715425921008,1.58733877859549,1.58743621336895,1.58754805509301,1.58759493978618,1.59517672698425
"32",1.55,1.40863144937486,1.51637088069631,1.56692220006657,1.57861277525383,1.58153870534295,1.58275732771957,1.58377767642713,1.58420000630923,1.58442052021937,1.58455217038033,1.58469747207257,1.58477321132556,1.58485885815519,1.58489412782358,1.59160924190015
"33",1.6,1.41749224991717,1.51997138526145,1.56642413937304,1.57674332662861,1.57925290528898,1.58027989202107,1.5811255946828,1.58146948749072,1.58164674215859,1.58175149174254,1.5818657939357,1.58192460788726,1.58199012897731,1.58201663392292,1.58784562604083
"34",1.65,1.42540978825877,1.52279792344003,1.56544880681966,1.574549400606,1.57669984147247,1.57756449766025,1.57826478584382,1.57854454053751,1.57868688464312,1.5787701495251,1.57885997954582,1.57890560632744,1.57895568365386,1.57897558284977,1.58391142699833
"35",1.7,1.43244716628733,1.52491948115632,1.56404924084535,1.57206849152276,1.5739095574536,1.57463688551742,1.5752162491641,1.57544362274978,1.57555782817849,1.57562395466141,1.57569448838559,1.5757298526626,1.57576809255585,1.57578301886876,1.57982909433741
"36",1.75,1.43866344810482,1.52639898597301,1.56227231687148,1.56933322672317,1.57090811387169,1.57151940576501,1.57199832705241,1.5721829705888,1.57227452148392,1.57232699209249,1.57238232756706,1.57240971418072,1.57243889052268,1.57245007719941,1.57561840680159
"37",1.8,1.4441139205962,1.52729385693347,1.56015952174296,1.56637209319178,1.56771822925021,1.56823158626613,1.56862716839037,1.5687769922055,1.56885032330631,1.56889192443173,1.56893530179453,1.56895649329303,1.56897873687887,1.56898711414556,1.57129683248996
"38",1.85,1.4488503369472,1.52765650338822,1.55774762734007,1.56321004959609,1.56435980991401,1.56479059670064,1.56511710047771,1.56523857904755,1.5652972716022,1.56533022967406,1.56536420743569,1.56538059272889,1.56539753836857,1.56540380704326,1.56687983380581
"39",1.9,1.45292114423953,1.52753477759278,1.55506927666097,1.55986904211918,1.56085038861322,1.56121162802778,1.56148092821611,1.56157935390024,1.5616262962582,1.56165238806371,1.56167898406696,1.56169164407156,1.56170454462091,1.56170923209781,1.56238112667896
"40",1.95,1.45637169617651,1.52697238541243,1.55215349391187,1.55636843949928,1.55720548796514,1.55750820318206,1.5577301753216,1.55780986895912,1.55784738788137,1.55786802972941,1.55788883361535,1.55789860862272,1.55790842320853,1.55791192595777,1.55781290175342
"41",2,1.4592444519219,1.52600925906029,1.54902612861378,1.55272540020818,1.55343892196335,1.55369243189204,1.55387527932054,1.55393976459086,1.55396973237337,1.55398605200544,1.55400231476552,1.55400985733191,1.55401731949091,1.5540199352677,1.55318601379981
"42",2.2,1.46571546323828,1.51883407450006,1.53482703749265,1.53701077409248,1.53738538852002,1.53750935981091,1.53759307478515,1.53762055954706,1.53763268581017,1.53763902448282,1.5376450622694,1.53764772044014,1.53765020008238,1.53765100890223,1.53427068441762
"43",2.4,1.46570235999156,1.50766569543147,1.51870967020937,1.51998985746368,1.52018501261929,1.52024515190273,1.52028318298729,1.52029480377324,1.52029967082401,1.52030211273359,1.520304336422,1.52030526563098,1.52030608322465,1.52030633131849,1.51503141116982
"44",2.6,1.46087687941456,1.49383693819485,1.50142597101772,1.50217225180793,1.50227326309521,1.50230224210893,1.50231940820697,1.50232428875208,1.50232622896229,1.50232716325235,1.50232797675695,1.50232829937468,1.50232856722119,1.50232864281225,1.49577961349189
"45",2.8,1.45252372622724,1.47828943005478,1.48348380376647,1.48391683937859,1.48396883915453,1.48398272415044,1.4839904305064,1.48399246866998,1.48399323766686,1.48399359305564,1.48399388898263,1.48399400034955,1.4839940876229,1.48399411052439,1.4767198906831
