"","Ess","Sum10","Sum25","Sum50","Sum75","Sum100","Sum125","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum600","Sum750","Sum1000","Sum1250","Sum1500","Sum2000"
"11",0.25,0.239038163069473,0.240479321170569,0.240668145166475,0.240699598573526,0.240709823972638,0.240714296301257,0.240716616472699,0.240718806918984,0.240719760859983,0.240720254424036,0.240720719295606,0.240720921307156,0.240721025685271,0.240721107011604,0.240721166502355,0.24072119232025,0.240721205649284,0.240721218179569
"12",0.3,0.280306095086559,0.281848514242834,0.282042508245178,0.282073883905346,0.282083903949488,0.282088230118593,0.28209045167419,0.282092525626964,0.282093417161301,0.282093873732928,0.282094298951739,0.282094481337408,0.282094574612018,0.28209464656647,0.28209469855062,0.282094720817948,0.282094732196311,0.282094742772858
"13",0.35,0.319642866882361,0.32124801132746,0.321441796922581,0.321472226602527,0.321481772828219,0.321485841411233,0.32148790946951,0.321489818610068,0.321490628683863,0.321491039306434,0.321491417457021,0.321491577551069,0.321491658588553,0.321491720483347,0.321491764647031,0.321491783318795,0.321491792762218,0.321491801441821
"14",0.4,0.357143056898595,0.358779594302057,0.358969237024255,0.358998147871587,0.359007057222488,0.359010805505619,0.359012691396021,0.359014412984457,0.359015134026607,0.359015495790177,0.359015825225017,0.359015962885486,0.359016031854908,0.359016084010413,0.359016120765047,0.359016136102465,0.359016143780096,0.35901615075773
"15",0.45,0.392895945280644,0.394538624777357,0.3947213285888,0.394748368083567,0.394756553261891,0.394759952538672,0.394761645447752,0.394763173677235,0.394763805451161,0.394764119191511,0.394764401706906,0.394764518229006,0.394764576010765,0.394764619273225,0.394764649384337,0.394764661786119,0.394764667930647,0.394764673452495
"16",0.5,0.426985861122954,0.428614552410877,0.428788412532257,0.428813390379647,0.428820817531906,0.428823862270344,0.428825363194397,0.428826703056179,0.428827249785178,0.428827518519939,0.428827757811258,0.428827855224219,0.428827903035775,0.42882793847887,0.428827962843158,0.428827972747492,0.428827977604378,0.428827981920293
"17",0.55,0.459492503860487,0.461091375235882,0.461255178794641,0.461278022172642,0.461284694215522,0.461287394148593,0.461288711561531,0.461289874545784,0.461290342951419,0.461290570836274,0.461290771493229,0.461290852117314,0.461290891283669,0.461290920030614,0.461290939548066,0.461290947378868,0.461290951179583,0.461290954519256
"18",0.6,0.490491240898461,0.492048057061682,0.492201122860421,0.492221842165364,0.492227786432579,0.492230160845418,0.492231307635518,0.492232308766152,0.492232706756355,0.492232898405069,0.49223306527751,0.492233131455434,0.492233163274855,0.492233186398274,0.492233201904129,0.492233208044399,0.492233210994056,0.492233213556993
"19",0.65,0.520053383394727,0.521558906432636,0.521700956663506,0.521719619481393,0.521724878666729,0.521726952325807,0.521727943665324,0.521728799497109,0.521729135312492,0.521729295368821,0.521729433183604,0.521729487127143,0.521729512798445,0.521729531269443,0.521729543502895,0.521729548284202,0.521729550557489,0.521729552510718
"20",0.7,0.548246441946792,0.549693921131095,0.549824979125086,0.549841690625268,0.549846316227754,0.549848116529918,0.549848968425575,0.549849695729348,0.549849977409183,0.549850110290928,0.549850223436303,0.549850267147503,0.549850287736209,0.549850302403694,0.549850311998413,0.54985031569953,0.549850317441186,0.54985031892097
"21",0.75,0.575134363787394,0.576519101766079,0.576639410912697,0.576654299235501,0.576658346893177,0.576659901914435,0.576660630250566,0.576661245185256,0.576661480253438,0.576661590012221,0.576661682431711,0.576661717671147,0.576661734099412,0.57666174568729,0.576661753174177,0.576661756024551,0.576661757352105,0.576661758467501
"22",0.8,0.600777752957292,0.602096737597564,0.602206697436876,0.602219902946476,0.602223429186183,0.602224766388424,0.602225386322813,0.602225903947312,0.602226099247123,0.602226189504289,0.602226264660184,0.602226292943809,0.60222630599418,0.602226315108453,0.602226320924702,0.602226323110153,0.602226324117575,0.602226324954587
"23",0.85,0.625234074800526,0.626485667399742,0.62658578360558,0.626597451118495,0.626600511159053,0.626601656572853,0.626602182181787,0.626602616200081,0.62660277782726,0.626602851758375,0.626602912637719,0.626602935250075,0.62660294557667,0.626602952717438,0.626602957218264,0.62660295888737,0.626602959648875,0.626602960274543
"24",0.9,0.648557846014658,0.649741517860057,0.649832363425638,0.649842636715737,0.649845283047266,0.649846260794743,0.649846704891207,0.649847067554042,0.649847200852763,0.649847261201809,0.649847310346739,0.649847328362624,0.64984733650571,0.649847342080991,0.649847345551901,0.649847346822261,0.649847347395891,0.649847347861965
"25",0.95,0.670800811385598,0.671916921739539,0.671999107165887,0.672008125198211,0.672010406726698,0.672011238783236,0.672011612852756,0.672011914961107,0.672012024558307,0.67201207366877,0.672012113219287,0.672012127528881,0.672012133930376,0.672012138269983,0.672012140938433,0.672012141902332,0.672012142333107,0.672012142679231
"26",1,0.692012108242561,0.693061717779611,0.693135868470717,0.693143762936629,0.693145724534109,0.693146430654246,0.693146744868257,0.693146995840015,0.693147085701294,0.693147125555659,0.693147157297209,0.693147168631613,0.69314717365009,0.693147177018571,0.693147179064439,0.693147179793788,0.693147180116391,0.693147180372729
"27",1.05,0.71223841958284,0.713223134127683,0.713289873528736,0.713296767350095,0.713298449690386,0.713299047443135,0.713299310721147,0.713299518694175,0.713299592190057,0.713299624452228,0.713299649863367,0.713299658818816,0.713299662743263,0.713299665351427,0.713299666916072,0.713299667466574,0.713299667707566,0.713299667896936
"28",1.1,0.731524116737525,0.732445956865009,0.732505894153627,0.732511900698884,0.732513340289223,0.732513845163187,0.732514065263488,0.732514237216737,0.732514297191959,0.732514323249193,0.73251434354664,0.732514350606474,0.73251435366845,0.732514355683353,0.732514356877273,0.732514357291842,0.732514357471461,0.732514357611045
"29",1.15,0.749911392377591,0.750772685052812,0.750826406418043,0.750831629232405,0.750832858574634,0.750833284124495,0.750833467749308,0.750833609629787,0.750833658471047,0.750833679473389,0.750833695652984,0.750833701207007,0.750833703591139,0.750833705144524,0.750833706053692,0.750833706365253,0.750833706498854,0.750833706601531
"30",1.2,0.767440384594163,0.768243673564011,0.768291736292364,0.768296269190742,0.768297317023447,0.768297675037847,0.768297827943399,0.768297944791126,0.768297984490572,0.768298001386746,0.768298014259731,0.768298018620908,0.768298020473755,0.768298021669083,0.768298022360115,0.768298022593822,0.768298022693007,0.768298022768391
"31",1.25,0.784149292726802,0.784897264835778,0.784940193574767,0.784944120982688,0.784945012569164,0.784945313246165,0.784945440351394,0.784945536417536,0.784945568630579,0.784945582199874,0.784945592424404,0.784945595843012,0.784945597280477,0.784945598198693,0.784945598723023,0.784945598898028,0.784945598971535,0.784945599026787
